project_name,project_short,project_code,latitude,longitude,site_stage,site_type,site_subtype,site_commodities,tectonic_unit,resource_mt,resource_grade_gt,resource_oz,reserve_mt,reserve_grade_gt,reserve_oz,total_gold_oz,tenement_ids,tenement_types,tenement_holders,tenement_status,minedex_url
Jumbulyer,Jumbulyer,J04258,-28.17496,117.793439,Undeveloped,Deposit,Unspecified,"Au, Ag",Youanmi Terrane,0.07,1.8,4051.0,0.0,0.0,0.0,4051.0,M 58/359,MINING LEASE,KIRKALOCKA GOLD SPV PTY LTD,LIVE,https://minedex.dmirs.wa.gov.au/Web/projects/details/5c9fc0d1-ab97-4023-bdcd-c806c7bd776c
Jundee - Nimary,Jundee - Nimary,J01726,-26.372535,120.604113,Operating,Mine,Decline,"Au, Ag",Eastern Goldfields Superterrane,79.271,2.54085605,6475671.8,9.079,3.3645776,982107.4,7457779.2,M 53/191,MINING LEASE,NORTHERN STAR RESOURCES LTD,LIVE,https://minedex.dmirs.wa.gov.au/Web/projects/details/f981b3aa-adc7-479f-88c0-7d39bfd48bec
Jungle Well,Jungle Well,J00412,-28.408451,120.999011,Care and Maintenance,Mine,Openpit,"Au, Ag",Eastern Goldfields Superterrane,0.735,1.1,25993.8,0.0,0.0,0.0,25993.8,M 37/135,MINING LEASE,UNIQ RESOURCES LEONORA PTY LTD,LIVE,https://minedex.dmirs.wa.gov.au/Web/projects/details/39ce3785-2f2b-4b94-9168-cf7fb4c9e90d
Kalgoorlie North,Bardoc Gold,J02816,-30.33482,121.28627,Proposed,Mine,Openpit,"Au, Ag",Eastern Goldfields Superterrane,26.929,1.48065654,1281932.0,0.795,3.8,97127.3,1379059.3,M 24/870,MINING LEASE,GPM RESOURCES PTY LTD,LIVE,https://minedex.dmirs.wa.gov.au/Web/projects/details/21aaefae-167f-41e1-a8fb-3bc311078d79
Kalpini,Kalpini,J03265,-30.406004,121.946513,Proposed,Mine,Openpit,"Au, Ag",Eastern Goldfields Superterrane,1.872,2.331875,140346.5,0.0,0.0,0.0,140346.5,M 27/485,MINING LEASE,BLACK MOUNTAIN GOLD PTY LIMITED,LIVE,https://minedex.dmirs.wa.gov.au/Web/projects/details/0c9c9a10-dcbf-4175-968a-3af38b2d8146
Kambalda - St Ives,Kambalda - St Ives,J00178,-31.283029,121.673409,Operating,Mine,Decline,"Au, Ag, As",Eastern Goldfields Superterrane,23.787,3.58495397,2741660.6,28.964,3.62160268,3372483.0,6114143.6,M 15/1687,MINING LEASE,ST IVES GOLD MINING COMPANY PTY LIMITED,LIVE,https://minedex.dmirs.wa.gov.au/Web/projects/details/9af81d55-06f2-4ebf-8fac-430b8f17015f
Kambalda Gold / RNC,Kambalda,J04930,-31.242525,121.689952,Operating,Mine,Decline,"Au, Ag, Ni",Eastern Goldfields Superterrane,63.539,2.27810825,4653772.7,5.666,2.15777621,393073.2,5046845.9,M 15/1518,MINING LEASE,ST IVES GOLD MINING COMPANY PTY LIMITED,LIVE,https://minedex.dmirs.wa.gov.au/Web/projects/details/701ff27a-c801-4a08-85c1-fadaa647c4be
Kanowna - Golden Valley,Kanowna -Golden Valley,J00181,-30.570241,121.466638,Shut,Mine,Openpit,"Au, Ag",Eastern Goldfields Superterrane,108.982,2.28424052,8003630.6,24.64,1.47923701,1171841.6,9175472.2,M 24/462,MINING LEASE,NORTHERN STAR (KLV) PTY LTD,LIVE,https://minedex.dmirs.wa.gov.au/Web/projects/details/fead7be5-46c8-438d-b096-62283bd4f544
Karlawinda Gold,Karlawinda,J03488,-23.765131,120.095899,Operating,Mine,Openpit,"Au, Ag",Collier Basin,94.3,0.70848356,2147988.3,53.6,0.76212687,1313356.1,3461344.4,M 52/1070,MINING LEASE,GREENMOUNT RESOURCES PTY LTD,LIVE,https://minedex.dmirs.wa.gov.au/Web/projects/details/b1a342bc-744d-40b9-a1b0-8902985f9587
Karonie,Karonie,J05593,-31.009034,122.580996,Undeveloped,Deposit,Unspecified,"Au, Cu, Zn, Ag",Eastern Goldfields Superterrane,2.961,1.18628842,112932.5,0.0,0.0,0.0,112932.5,E 28/2575; L 28/56,EXPLORATION LICENCE; MISCELLANEOUS LICENCE,GOLDTRIBE CORPORATION PTY LTD; SILVER LAKE (INTEGRA) PTY LIMITED,LIVE; LIVE,https://minedex.dmirs.wa.gov.au/Web/projects/details/cb96f6ed-475c-4210-8256-16f788074a0f
