OBJECTID,PROJ_NAME,PROJ_SHORT,PROJ_CODE,PRI_P_COM,LOC_SITE,LATITUDE,LONGITUDE,TECT_UNIT,EST_COM,EST_COM_AB,EST_COM_P,RES_QTY,RES_QTY_U,RES_QTY_G,RES_QTY_GU,RES_CON,RES_CON_U,ARES_CON,ARES_CON_U,RV_QTY,RV_QTY_U,RV_QTY_G,RV_QTY_GU,RV_CON,RV_CON_U,ARV_CON,ARV_CON_U,POINT_SIZE,POINT_UNIT,PROJ_URL,EXTRACT_DA,TENEMENT_IDS,TENEMENT_TYPES,TENEMENT_HOLDERS,TENEMENT_STATUS,SITE_TYPE,SITE_SUBTYPE,SITE_STAGE,SITE_COMMODITIES
333157,Rothsay,Rothsay,J00315,Gold,S0002232,-29.289266,116.877668,Youanmi Terrane,Gold,Au,Yes,1.551,million tonnes,6.77698259,gram/tonne,10511.1,kilogram,337939.7167917,ounce (troy),0.551,million tonnes,4.14047187,gram/tonne,2281.4,kilogram,73348.7142058,ounce (troy),12792.5,kilogram,https://minedex.dmirs.wa.gov.au/Web/projects/details/5f082349-9e74-4dd6-b6b6-933b560f4b25,10/04/2026,M 59/40-I,MINING LEASE,SILVER LAKE (ROTHSAY) PTY LTD,LIVE,Mine,Decline,Operating,"Au, Ag"
333158,Rowes Find - Kal East Gold Project,Kal East,J02127,Gold,S0005625,-30.840877,122.83849,Yilgarn Craton granites,Gold,Au,Yes,0.148,million tonnes,3.5,gram/tonne,518,kilogram,16654.086946,ounce (troy),,,,,,,,,518,kilogram,https://minedex.dmirs.wa.gov.au/Web/projects/details/6f2fe9c0-b129-4f8e-af10-914aff2a3edf,10/04/2026,M 28/164,MINING LEASE,BLACK CAT (KAL EAST) PTY LTD,LIVE,Deposit,Unspecified,Undeveloped,"Au, Ag"
333159,Ruby Queen - Halls Creek,Ruby Queen - Halls Creek,J00316,Gold,S0000693,-18.454747,127.747209,"Lamboo Province, Eastern Zone",Gold,Au,Yes,0.082,million tonnes,9.00731707,gram/tonne,738.6,kilogram,23746.5417342,ounce (troy),,,,,,,,,738.6,kilogram,https://minedex.dmirs.wa.gov.au/Web/projects/details/7d23479a-fcec-4b5b-8a4b-33f7e0afb1cd,10/04/2026,P 80/1883; P 80/1884,PROSPECTING LICENCE; PROSPECTING LICENCE,"DOUGLAS, MARK JAMES; HORROCKS ENTERPRISES PTY LTD",PENDING; PENDING,Mine,Shaft,Shut,Au
333160,Ruby Well / Rubianna,Ruby Well,J00952,Gold,S0013457,-25.958216,118.779713,Bryah Basin,Gold,Au,Yes,0.229,million tonnes,2.89650655,gram/tonne,663.3,kilogram,21325.5904851,ounce (troy),,,,,,,,,663.3,kilogram,https://minedex.dmirs.wa.gov.au/Web/projects/details/88dba4a0-d4dc-428e-a05e-1b47260eb39a,10/04/2026,M 51/291,MINING LEASE,REEF MINING PTY LTD,LIVE,Mine,Shaft,Shut,Au
333163,Saddows,Saddows,J02129,Gold,S0005628,-28.188898,116.701883,Youanmi Terrane,Gold,Au,Yes,0.007,million tonnes,16,gram/tonne,112,kilogram,3600.883664,ounce (troy),,,,,,,,,112,kilogram,https://minedex.dmirs.wa.gov.au/Web/projects/details/95886229-6345-4e25-a217-0bb1af436e65,10/04/2026,P 59/2323,PROSPECTING LICENCE,"WHITE, DARREN MICHAEL",LIVE,Mine,Shaft,Shut,"Au, Cu"
333175,Salt Creek,Salt Creek,J00657,Zinc,S0001443,-20.757098,117.704508,Mallina Basin,Gold,Au,No,2.745,million tonnes,0.16542805,gram/tonne,454.1,kilogram,14599.6542127,ounce (troy),0.79,million tonnes,0.27,gram/tonne,213.3,kilogram,6857.7543351,ounce (troy),667.4,kilogram,https://minedex.dmirs.wa.gov.au/Web/projects/details/9c84a549-56b6-4cb2-9b29-6d84491c8588,10/04/2026,M 47/323,MINING LEASE,VENTUREX PILBARA PTY LTD,LIVE,Deposit,Unspecified,Undeveloped,"Zn, Pb, Cu, Ag, Au"
333179,Sandstone / Alto,Sandstone,J02278,Gold,S0020857,-28.148076,119.506412,Youanmi Terrane,Gold,Au,Yes,23.5,million tonnes,1.24680851,gram/tonne,29300,kilogram,942016.8871,ounce (troy),,,,,,,,,29300,kilogram,https://minedex.dmirs.wa.gov.au/Web/projects/details/ba6f3707-e005-4a8b-8841-ad7eddefe544,10/04/2026,M 57/652,MINING LEASE,SANDSTONE EXPLORATION PTY LTD,LIVE,Mine,Openpit,Shut,"Au, Ag"
333196,Scotia Gold,Scotia,J02508,Gold,S0019050,-30.149387,121.233066,Eastern Goldfields Superterrane,Gold,Au,Yes,1.1,million tonnes,2.1,gram/tonne,2310,kilogram,74268.22557,ounce (troy),,,,,,,,,2310,kilogram,https://minedex.dmirs.wa.gov.au/Web/projects/details/e734d93a-530d-4f4c-8530-a151bb72c0fc,10/04/2026,M 29/428,MINING LEASE,SHINE RESOURCES PTY LTD,LIVE,Mine,Openpit,Care and Maintenance,"Au, Ag"
333205,Sharks Gully - Kangaroo Flats,Sharks Gully - Kangaroo Flats,J00327,Gold,S0000913,-21.468796,119.616106,Warrawoona  Large Igneous Province,Gold,Au,Yes,1,million tonnes,0.8,gram/tonne,800,kilogram,25720.5976,ounce (troy),,,,,,,,,800,kilogram,https://minedex.dmirs.wa.gov.au/Web/projects/details/ef6d665a-5b38-475d-91e3-6c97ce2ee567,10/04/2026,P 45/3234,PROSPECTING LICENCE,"WOELK, ADAM",LIVE,Mine,Openpit,Shut,Au
333219,Side Well,Side Well,J04164,Gold,S0226196,-26.567807,118.59205,Youanmi Terrane,Gold,Au,Yes,16.042,million tonnes,1.98353073,gram/tonne,31819.8,kilogram,1023030.3393906,ounce (troy),,,,,,,,,31819.8,kilogram,https://minedex.dmirs.wa.gov.au/Web/projects/details/4e2a5633-5a32-4c64-a70f-fa1510fa0785,10/04/2026,E 51/1905,EXPLORATION LICENCE,GREAT BOULDER RESOURCES LTD,LIVE,Deposit,Unspecified,Undeveloped,"Au, Cu, Zn, Ag"
